name;categories;subcategories;calories;protein;fat;carbs;calcium;iron;magnesium;allergens
Gravy, bound;Verschiedenes;Saucen;53.0;1.6;3.0;4.6;18.0;0.6;8.0;
Gravy, clear;Verschiedenes;Saucen;44.0;1.5;2.5;3.5;18.0;0.6;8.0;
Bresaola;Fleisch- und Wurstwaren;Rohwurstware;167.0;32.4;3.9;0.4;35.0;7.1;0.0;
Brie, cream;Milch und Milchprodukte;Weichkäse;342.0;17.7;30.0;0.0;500.0;0.2;20.0;milk
Brie, full fat;Milch und Milchprodukte;Weichkäse;298.0;21.4;23.5;0.0;420.0;0.1;19.0;milk
Broccoli, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);28.0;2.7;0.4;2.2;85.0;1.1;22.0;
Broccoli, raw;Gemüse;Gemüse frisch;31.0;3.0;0.4;2.4;93.0;1.4;25.0;
Blackberry, raw;Früchte;Früchte frisch;47.0;1.1;0.7;6.5;31.0;0.4;20.0;
Bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;264.0;9.2;4.6;44.6;29.0;1.5;36.0;
Smoked boiled sausages;Fleisch- und Wurstwaren;Brühwurstware;249.0;14.0;21.2;0.5;8.5;0.9;13.0;
Cooked sausages unsmoked;Fleisch- und Wurstwaren;Brühwurstware;251.0;13.4;21.6;0.8;12.0;0.7;13.0;
Watercress, raw;Gemüse;Gemüse frisch;17.0;2.2;0.2;0.3;160.0;1.3;20.0;
Brunsli;Süssigkeiten;Guetzli;515.0;14.9;29.9;43.3;140.0;3.1;140.0;
Buckwheat, grain hulled;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;346.0;9.8;1.7;71.0;18.0;3.8;140.0;gluten
Buckwheat flour;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;348.0;11.5;2.2;68.4;24.0;2.5;160.0;gluten
Grisons barley soup;Gerichte;Eintöpfe und Suppen;42.0;1.4;0.9;6.7;29.0;0.5;11.0;gluten
Bürli;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;215.0;8.6;1.0;41.5;17.0;1.3;28.0;
Butter croissants, light;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;432.0;8.7;24.2;43.5;52.0;1.0;25.0;
Butter croissants, wholemeal;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;368.0;6.8;19.7;38.7;15.0;1.0;24.0;
Buttermilk;Milch und Milchprodukte;Milch- und Joghurtgetränke;34.0;3.4;0.5;4.0;110.0;0.1;16.0;milk
Café crème, unsweetened;Alkoholfreie Getränke;Kaffee;13.0;0.3;1.1;0.5;14.0;0.0;3.7;
Cake Financier;Süssigkeiten;Kuchen, Torten und Cake;440.0;11.1;26.1;38.5;80.0;1.0;71.0;
Camembert, half fat;Milch und Milchprodukte;Weichkäse;188.0;24.4;10.0;0.0;530.0;0.3;22.0;milk
Camembert, cream;Milch und Milchprodukte;Weichkäse;355.0;17.1;31.7;0.0;350.0;0.2;16.0;milk
Camembert, full fat;Milch und Milchprodukte;Weichkäse;297.0;20.8;23.7;0.0;370.0;0.1;19.0;milk
Cappuccino , unsweetened;Milch und Milchprodukte;Milch- und Joghurtgetränke,Alkoholfreie Getränke;37.0;1.7;2.2;2.6;67.0;0.0;6.6;milk
Capuns, prepared;Gerichte;Sonstige salzige;164.0;8.1;10.2;9.6;42.0;1.0;15.0;
Cashew nut;Nüsse, Samen und Ölfrüchte;;593.0;21.5;45.2;23.2;40.0;5.9;270.0;shellFruit
Cervelat;Fleisch- und Wurstwaren;Brühwurstware;249.0;13.4;21.5;0.5;11.0;0.8;13.0;
Mushroom (canned);Gemüse;Pilze;19.0;2.2;0.3;0.5;23.0;0.8;12.0;
Mushroom, steamed;Gemüse;Pilze;29.0;4.2;0.3;1.2;8.3;1.0;11.0;
Mushroom, raw;Gemüse;Pilze;25.0;3.7;0.3;1.1;7.0;1.0;11.0;
Chia seeds;Nüsse, Samen und Ölfrüchte;;482.0;21.4;34.1;1.8;550.0;6.5;320.0;
Chicory, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);13.0;1.0;0.2;0.7;20.0;0.2;9.3;
Chicory, raw;Gemüse;Gemüse frisch;14.0;1.0;0.2;0.7;20.0;0.2;10.0;
Chinese cabbage, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);15.0;1.0;0.3;1.2;40.0;0.5;9.5;
Chinese cabbage, raw;Gemüse;Gemüse frisch;16.0;1.1;0.3;1.2;40.0;0.6;11.0;
Chräbeli;Süssigkeiten;Guetzli;366.0;8.6;2.9;75.3;32.0;1.8;14.0;
Cicorino red, raw;Gemüse;Gemüse frisch;19.0;1.4;0.1;1.6;36.0;0.3;0.0;
Cocktail sauce, with rapeseed oil mayonnaise, homemade;Verschiedenes;Saucen;696.0;2.4;74.5;3.8;21.0;0.9;4.8;
Cola drink, sweetened;Alkoholfreie Getränke;Süssgetränke;40.0;0.0;0.0;10.0;5.0;0.0;1.0;
Cola drink, with sweeteners;Alkoholfreie Getränke;Süssgetränke energievermindert;0.0;0.0;0.0;0.0;4.0;0.0;1.0;
Coleslaw salad, prepared;Gerichte;Salate;120.0;1.6;10.3;4.1;59.0;0.3;11.0;
Coppa;Fleisch- und Wurstwaren;Rohwurstware;319.0;28.8;22.5;0.3;13.0;1.4;26.0;
Cornflakes;Brote, Flocken und Frühstückscerealien;Müeslimischungen und Frühstückscerealien;363.0;7.7;0.6;79.7;13.0;2.0;14.0;
Cotechino;Fleisch- und Wurstwaren;Rohwurstware;450.0;17.2;42.3;0.0;30.0;2.1;0.0;
Cotto;Fleisch- und Wurstwaren;Kochwurstware;93.0;15.7;3.1;0.6;7.5;0.7;18.0;
Crackers, savoury biscuits, aperitif biscuits;Salzige Snacks;Salzsticks und Bretzel;449.0;9.2;15.9;66.3;110.0;1.6;24.0;
Cream slice;Süssigkeiten;Sonstige süsse Backwaren;301.0;4.1;18.8;28.8;79.0;0.3;11.0;
Date, dried;Früchte;Früchte getrocknet;289.0;2.4;0.6;64.7;68.0;2.2;55.0;
Spelt flour, Ruch, type 1100;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;348.0;14.3;2.2;65.0;28.0;2.4;64.0;gluten
Spelt flour, wholemeal, type 1900;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;346.0;15.6;2.7;60.0;35.0;3.6;140.0;gluten
Spelt flour, white, type 550;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;348.0;13.3;1.5;69.0;22.0;1.0;23.0;gluten
Safflower oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Double cream, pasteurised;Fette und Öle;Rahm,Milch und Milchprodukte;468.0;1.9;50.0;2.7;49.0;0.1;5.0;
Dried bean, soaked, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);63.0;5.1;0.5;6.4;140.0;1.8;57.0;
Cod, fillet, steamed;Fisch;Meeresfische;72.0;17.0;0.5;0.0;16.0;0.2;24.0;
Cod, raw;Fisch;Meeresfische;76.0;18.1;0.4;0.0;13.0;0.2;23.0;
Dulce de Leche;Süssigkeiten;Konfitüren und süsse Brotaufstriche;299.0;5.7;7.3;52.6;210.0;0.1;18.0;
Sweet chestnut, raw;Nüsse, Samen und Ölfrüchte;;210.0;2.9;1.9;41.2;18.0;2.1;31.0;
Egli, raw;Fisch;Süsswasserfische;79.0;18.0;0.7;0.0;80.0;0.9;30.0;
Egg liqueur, 16.5 vol%;Alkoholhaltige Getränke;Sonstige alkoholische Getränke;313.0;4.4;7.7;30.8;15.0;0.8;4.4;egg
Eggsprout, steamed;Gemüse;Pilze;28.0;2.6;0.6;0.2;9.5;6.7;14.0;egg
Chanterelle, raw;Gemüse;Pilze;24.0;2.3;0.5;0.2;8.0;6.5;14.0;
Iceberg lettuce, raw;Gemüse;Gemüse frisch;16.0;1.0;0.2;1.6;34.0;0.5;7.0;
Iced tea, sweetened;Alkoholfreie Getränke;Süssgetränke,Alkoholfreie Getränke;30.0;0.0;0.0;7.5;0.1;0.0;0.9;
Emmental, full-fat;Milch und Milchprodukte;Hartkäse;408.0;28.4;32.6;0.0;1030.0;0.4;31.0;milk
Endive, raw;Gemüse;Gemüse frisch;16.0;1.8;0.2;1.2;54.0;1.4;10.0;
Energy drink, sweetened;Alkoholfreie Getränke;Süssgetränke;44.0;0.0;0.0;10.9;4.0;0.0;1.0;
Pea (canned);Gemüse;Gemüse gekocht (inkl. Konserven);87.0;4.8;0.8;12.8;32.0;1.6;21.0;
Pea (canned), reheated (without adding salt);Gemüse;Gemüse gekocht (inkl. Konserven);89.0;4.9;0.8;13.1;32.0;1.4;20.0;
Pea, green, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);100.0;6.6;0.8;13.2;28.0;1.8;35.0;
Pea, green, raw;Gemüse;Gemüse frisch;90.0;6.0;0.7;12.0;26.0;1.9;34.0;
Pea, ripe, dried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;331.0;21.3;1.7;51.9;39.0;4.3;96.0;
Pea, ripe, dried, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;137.0;9.0;0.7;21.2;18.0;1.6;36.0;
Peas and carrots (canned);Gemüse;Gemüse gekocht (inkl. Konserven);67.0;3.7;0.5;9.5;28.0;1.2;23.0;
Peas and carrots (canned), reheated (without adding salt);Gemüse;Gemüse gekocht (inkl. Konserven);68.0;3.8;0.5;9.7;28.0;1.0;22.0;
Strawberry, raw;Früchte;Früchte frisch;39.0;0.6;0.5;6.0;18.0;0.2;12.0;
Peanut;Nüsse, Samen und Ölfrüchte;;623.0;26.1;49.1;14.8;65.0;1.6;160.0;peanut
Peanut flips;Salzige Snacks;Chips;507.0;13.2;24.2;56.5;16.0;0.9;43.0;peanut
Peanut, roasted, salted;Salzige Snacks;Gesalzene Nüsse, Samen, Kerne;631.0;26.2;50.0;15.0;47.0;1.2;170.0;peanut
Peanut butter;Süssigkeiten;Konfitüren und süsse Brotaufstriche;636.0;26.1;51.8;12.5;37.0;2.0;180.0;peanut
Peanut oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;peanut
Espresso crème, unsweetened;Alkoholfreie Getränke;Kaffee;28.0;0.5;2.5;0.8;23.0;0.0;4.1;
Vinegar;Verschiedenes;Salz, Gewürze und Aromen;22.0;0.1;0.0;0.7;7.0;0.2;7.7;
Falafel, deep fried;Gerichte;Orientalische Gerichte;222.0;8.4;7.8;26.3;44.0;1.6;41.0;
Spring cabbage, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);47.0;4.6;1.0;2.7;290.0;1.4;29.0;
Spring cabbage, raw;Gemüse;Gemüse frisch;44.0;4.3;0.9;2.5;270.0;1.3;27.0;
Fig, dried;Früchte;Früchte getrocknet;267.0;3.1;1.2;55.9;190.0;1.4;67.0;
Fig, raw;Früchte;Früchte frisch;71.0;1.2;0.5;13.5;57.0;0.3;22.0;
Whitefish, raw;Fisch;Süsswasserfische;101.0;19.2;2.7;0.0;34.0;0.4;26.0;fish
Fennel, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);22.0;1.0;0.3;2.2;35.0;0.4;11.0;
Fennel, raw;Gemüse;Gemüse frisch;23.0;1.1;0.3;2.3;37.0;0.5;12.0;
Fermented dough;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;199.0;7.8;0.9;38.3;13.0;1.5;32.0;
Fish , fillet, steamed;Fisch;;146.0;19.6;7.5;0.0;29.0;0.8;32.0;fish
Fish , raw;Fisch;Süsswasserfische,Fisch;146.0;20.9;6.9;0.0;23.0;0.8;30.0;fish
Fish fingers , fried in HOLL rapeseed oil;Fisch;Meeresfische;300.0;16.0;18.6;16.6;11.0;0.4;19.0;fish
Fish fingers , baked in the oven;Fisch;Meeresfische;248.0;16.8;12.2;17.4;12.0;0.4;20.0;fish
Fish fingers, breaded and pre-fried;Fisch;Meeresfische;230.0;15.5;11.7;15.3;10.0;0.5;19.0;fish
Tarte flan dough, unbaked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teige;221.0;7.5;2.9;39.9;11.0;1.1;25.0;
Meat , raw;Fleisch und Innereien;Kalb,Fleisch und Innereien;146.0;21.4;6.7;0.0;6.5;1.1;22.0;
Flounder, fillet, steamed;Fisch;Meeresfische;69.0;15.5;0.8;0.0;60.0;0.3;23.0;
Flounder, raw;Fisch;Meeresfische;72.0;16.5;0.7;0.0;48.0;0.3;22.0;
Fondue non-alcoholic, prepared;Gerichte;Sonstige salzige;283.0;18.7;21.5;1.6;680.0;0.5;22.0;
Trout, raw;Fisch;Süsswasserfische;127.0;16.0;7.0;0.0;14.0;2.0;30.0;fish
Fotzel slices unsweetened;Gerichte;Sonstige süsse Gerichte;222.0;8.0;9.9;24.5;56.0;0.7;13.0;
Fribourg Vacherin;Milch und Milchprodukte;Hartkäse;370.0;23.5;30.4;0.0;640.0;0.1;25.0;milk
Cream cheese, double cream;Milch und Milchprodukte;Frischkäse und Quark;351.0;11.1;32.1;4.5;110.0;0.2;8.0;milk
Fruit cocktail, in syrup, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);77.0;0.6;0.2;17.3;8.2;0.1;7.4;
Fruit cocktail, with sweetener, canned, drained;Früchte;Früchte gekocht (inkl. Konserven);47.0;0.7;0.2;9.5;8.7;0.2;8.0;
Fruits , cooked;Früchte;Früchte gekocht (inkl. Konserven);50.0;0.6;0.4;9.9;14.0;0.2;8.5;
Fruits , dried;Früchte;Früchte getrocknet;278.0;2.5;1.1;60.5;70.0;1.4;53.0;
Fruits , raw;Früchte;Früchte frisch;54.0;0.6;0.2;11.3;14.0;0.2;12.0;
Fruit juice spritzer , unsweetened;Alkoholfreie Getränke;Frucht- und Gemüsesäfte;31.0;0.2;0.1;7.4;7.4;0.2;4.8;
Fruit juice , unsweetened;Früchte;Fruchtsäfte,Alkoholfreie Getränke;52.0;0.4;0.1;12.3;7.7;0.3;7.4;
Spring roll, deep fried;Gerichte;Asiatische Gerichte;224.0;6.5;11.2;23.1;25.0;0.9;16.0;
Five-grain beer;Alkoholhaltige Getränke;Bier;40.0;0.6;0.0;2.0;3.6;0.0;11.0;
Shrimp, cooked;Fisch;Meeresfrüchte, Krusten- und Schalentiere;46.0;9.0;0.5;1.3;32.0;0.3;0.0;crustacean
Shrimp, raw;Fisch;Meeresfrüchte, Krusten- und Schalentiere;56.0;11.4;0.6;1.2;30.0;0.3;0.0;crustacean
Poultry meat , raw;Fleisch und Innereien;Geflügel;134.0;21.6;5.3;0.1;7.5;0.5;25.0;
Poultry meat with skin , raw;Fleisch und Innereien;Geflügel;161.0;20.0;9.0;0.0;7.2;0.5;22.0;
Poultry meat without skin , raw;Fleisch und Innereien;Geflügel;114.0;22.9;2.4;0.1;7.7;0.5;27.0;
Poultry Lyoner;Fleisch- und Wurstwaren;Brühwurstware;205.0;13.5;16.4;0.9;13.0;0.5;17.0;
Minced meat , fried;Fleisch und Innereien;;164.0;26.3;6.6;0.0;5.2;1.4;23.0;
Minced meat , raw;Fleisch und Innereien;Kalb,Fleisch und Innereien;143.0;21.6;6.2;0.0;4.2;1.1;20.0;
Vegetables , raw;Gemüse;Gemüse frisch;26.0;1.3;0.3;3.7;27.0;0.4;13.0;
Barley flakes;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime;333.0;8.5;1.5;66.1;16.0;2.0;66.0;gluten
Gerstotto, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;135.0;3.5;2.1;24.7;13.0;1.0;23.0;
Sliced meat , fried;Fleisch und Innereien;;150.0;28.9;3.8;0.1;8.6;1.0;26.0;
Sliced meat , raw;Fleisch und Innereien;Kalb,Fleisch und Innereien;118.0;22.0;3.3;0.1;6.4;0.8;22.0;
Cereal flakes;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime;348.0;10.8;3.2;64.0;26.0;3.6;94.0;
Glarus Schabziger;Milch und Milchprodukte;Frischkäse und Quark;132.0;31.6;0.5;0.0;860.0;0.2;34.0;milk
Gorgonzola;Milch und Milchprodukte;Hartkäse;357.0;19.0;31.2;0.1;610.0;0.3;20.0;milk
Pomegranate, raw;Früchte;Früchte frisch;81.0;1.4;1.2;14.3;9.5;0.2;12.0;
Grapefruit , raw;Früchte;Früchte frisch;42.0;0.9;0.5;8.0;23.0;0.1;8.0;
Gruyère, full fat;Milch und Milchprodukte;Hartkäse;396.0;26.4;32.0;0.0;900.0;0.4;35.0;milk
Gumdrop with fruit essence;Süssigkeiten;Bonbons, Frucht- und Kaugummi;341.0;6.6;0.0;78.6;9.0;0.2;2.0;
Cucumber, pickled in vinegar;Gemüse;Gemüse gekocht (inkl. Konserven);14.0;0.7;0.1;2.1;14.0;1.0;11.0;
Cucumber, raw;Gemüse;Gemüse frisch;14.0;0.7;0.1;2.0;15.0;0.2;10.0;
